rule_name,rule_label,fill_mode,horizon_days,signal_date,signal_time,entry_date,entry_price,exit_date,exit_price,return_pct,mae_pct,max_drawdown_pct,strategy_trade_no
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20250801,20250801130500,20250801,4.017,20250805,4.061,0.010953,-0.005726,-0.011141,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20251020,20251020140500,20251020,4.514,20251022,4.5785,0.014289,-0.00288,-0.015435,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20251118,20251118131500,20251118,4.562,20251120,4.5795,0.003836,-0.004603,-0.012158,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20251121,20251121144500,20251121,4.446,20251125,4.487,0.009222,-0.008097,-0.026705,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20251127,20251127144000,20251127,4.504,20251201,4.5645,0.013433,-0.005329,-0.015601,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20251216,20251216130500,20251216,4.49,20251218,4.557,0.014922,-0.002673,-0.021559,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20260122,20260122130500,20260122,4.711,20260126,4.736,0.005307,-0.005094,-0.015336,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20260202,20260202130500,20260202,4.655,20260204,4.708,0.011386,-0.015038,-0.028396,9
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20260320,20260320143000,20260320,4.599,20260324,4.4795,-0.025984,-0.042183,-0.049622,10
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20260326,20260326130500,20260326,4.519,20260330,4.5025,-0.003651,-0.016375,-0.022432,11
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20260331,20260331130500,20260331,4.487,20260402,4.5075,0.004569,-0.005572,-0.015852,12
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20260403,20260403130500,20260403,4.457,20260408,4.603,0.032757,-0.005834,-0.018897,13
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20250527,20250527130500,20250527,3.737,20250603,3.7535,0.004415,-0.004282,-0.012473,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20250801,20250801130500,20250801,4.017,20250807,4.0785,0.01531,-0.005726,-0.011141,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20251020,20251020140500,20251020,4.514,20251024,4.648,0.029685,-0.00288,-0.017609,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20251118,20251118131500,20251118,4.562,20251124,4.448,-0.024989,-0.033319,-0.042553,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20251127,20251127144000,20251127,4.504,20251203,4.5415,0.008326,-0.005329,-0.015601,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20251216,20251216130500,20251216,4.49,20251222,4.6095,0.026615,-0.002673,-0.021559,6
