rule_name,rule_label,fill_mode,horizon_days,signal_idx,entry_idx,exit_idx,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,mae_pct,mfe_pct,max_drawdown_pct,pre_drawdown_from_high_10,pre_close_vs_ma10,pre_rsi6,day_close_in_range,day_return,m5_low_pos_ratio,m5_volume_ratio_after_low,pre_close_vs_ma5
stat_core,统计核心规则,research_midpoint,3,19,19,21,20250527,20250527,3.7315,20250529,3.7615,0.00804,-0.001206,0.009782,-0.010616,-0.028534,-0.009128,38.297872,0.233333,-0.005591,0.723404,0.254312,
stat_core,统计核心规则,research_midpoint,5,19,19,23,20250527,20250527,3.7315,20250603,3.7535,0.005896,-0.002814,0.009782,-0.012473,-0.028534,-0.009128,38.297872,0.233333,-0.005591,0.723404,0.254312,
stat_core,统计核心规则,research_midpoint,10,19,19,28,20250527,20250527,3.7315,20250610,3.7775,0.012327,-0.002814,0.018089,-0.013688,-0.028534,-0.009128,38.297872,0.233333,-0.005591,0.723404,0.254312,
stat_core,统计核心规则,research_midpoint,20,19,19,38,20250527,20250527,3.7315,20250624,3.82,0.023717,-0.002814,0.025593,-0.019407,-0.028534,-0.009128,38.297872,0.233333,-0.005591,0.723404,0.254312,
stat_core,统计核心规则,next_open,3,19,20,22,20250527,20250528,3.736,20250530,3.7505,0.003881,-0.004015,0.008565,-0.012473,-0.028534,-0.009128,38.297872,0.233333,-0.005591,0.723404,0.254312,
stat_core,统计核心规则,next_open,5,19,20,24,20250527,20250528,3.736,20250604,3.7685,0.008699,-0.004015,0.010171,-0.012473,-0.028534,-0.009128,38.297872,0.233333,-0.005591,0.723404,0.254312,
stat_core,统计核心规则,next_open,10,19,20,29,20250527,20250528,3.736,20250611,3.803,0.017934,-0.004015,0.02061,-0.013688,-0.028534,-0.009128,38.297872,0.233333,-0.005591,0.723404,0.254312,
stat_core,统计核心规则,next_open,20,19,20,39,20250527,20250528,3.736,20250625,3.879,0.038276,-0.004015,0.038544,-0.019407,-0.028534,-0.009128,38.297872,0.233333,-0.005591,0.723404,0.254312,
stat_core,统计核心规则,research_midpoint,3,66,66,68,20250801,20250801,4.0025,20250805,4.061,0.014616,-0.002124,0.014866,-0.011141,-0.029696,-0.009896,36.25,0.340909,-0.005456,0.659574,0.361784,
stat_core,统计核心规则,research_midpoint,5,66,66,70,20250801,20250801,4.0025,20250807,4.0785,0.018988,-0.002124,0.021112,-0.011141,-0.029696,-0.009896,36.25,0.340909,-0.005456,0.659574,0.361784,
stat_core,统计核心规则,research_midpoint,10,66,66,75,20250801,20250801,4.0025,20250814,4.1565,0.038476,-0.002124,0.044347,-0.013158,-0.029696,-0.009896,36.25,0.340909,-0.005456,0.659574,0.361784,
stat_core,统计核心规则,research_midpoint,20,66,66,85,20250801,20250801,4.0025,20250828,4.437,0.108557,-0.002124,0.114803,-0.029807,-0.029696,-0.009896,36.25,0.340909,-0.005456,0.659574,0.361784,
stat_core,统计核心规则,next_open,3,66,67,69,20250801,20250804,3.999,20250806,4.0735,0.01863,-0.00125,0.019255,-0.009179,-0.029696,-0.009896,36.25,0.340909,-0.005456,0.659574,0.361784,
stat_core,统计核心规则,next_open,5,66,67,71,20250801,20250804,3.999,20250808,4.069,0.017504,-0.00125,0.022006,-0.009542,-0.029696,-0.009896,36.25,0.340909,-0.005456,0.659574,0.361784,
stat_core,统计核心规则,next_open,10,66,67,76,20250801,20250804,3.999,20250815,4.1755,0.044136,-0.00125,0.045261,-0.015072,-0.029696,-0.009896,36.25,0.340909,-0.005456,0.659574,0.361784,
stat_core,统计核心规则,next_open,20,66,67,86,20250801,20250804,3.999,20250829,4.484,0.12128,-0.00125,0.122781,-0.029807,-0.029696,-0.009896,36.25,0.340909,-0.005456,0.659574,0.361784,
stat_core,统计核心规则,research_midpoint,3,137,137,139,20251118,20251118,4.5505,20251120,4.5795,0.006373,-0.002088,0.012196,-0.012158,-0.028292,-0.012104,29.468599,0.358491,-0.005886,0.893617,1.323224,
stat_core,统计核心规则,research_midpoint,5,137,137,141,20251118,20251118,4.5505,20251124,4.448,-0.022525,-0.030876,0.012196,-0.042553,-0.028292,-0.012104,29.468599,0.358491,-0.005886,0.893617,1.323224,
stat_core,统计核心规则,research_midpoint,10,137,137,146,20251118,20251118,4.5505,20251201,4.5645,0.003077,-0.030876,0.012196,-0.042553,-0.028292,-0.012104,29.468599,0.358491,-0.005886,0.893617,1.323224,
stat_core,统计核心规则,research_midpoint,20,137,137,156,20251118,20251118,4.5505,20251215,4.5665,0.003516,-0.030876,0.01769,-0.044051,-0.028292,-0.012104,29.468599,0.358491,-0.005886,0.893617,1.323224,
stat_core,统计核心规则,next_open,3,137,138,140,20251118,20251119,4.555,20251121,4.486,-0.015148,-0.025467,0.011196,-0.036257,-0.028292,-0.012104,29.468599,0.358491,-0.005886,0.893617,1.323224,
stat_core,统计核心规则,next_open,5,137,138,142,20251118,20251119,4.555,20251125,4.487,-0.014929,-0.031833,0.011196,-0.042553,-0.028292,-0.012104,29.468599,0.358491,-0.005886,0.893617,1.323224,
stat_core,统计核心规则,next_open,10,137,138,147,20251118,20251119,4.555,20251202,4.553,-0.000439,-0.031833,0.011196,-0.042553,-0.028292,-0.012104,29.468599,0.358491,-0.005886,0.893617,1.323224,
stat_core,统计核心规则,next_open,20,137,138,157,20251118,20251119,4.555,20251216,4.5205,-0.007574,-0.031833,0.016685,-0.044051,-0.028292,-0.012104,29.468599,0.358491,-0.005886,0.893617,1.323224,
