rule_name,rule_label,entry_offset_bars,signal_date,signal_time,signal_price,signal_low_so_far,entry_idx,entry_time,entry_date,entry_price,exit_rule_name,exit_rule_label,exit_idx,exit_time,exit_date,exit_price,exit_reason,return_pct,mae_pct,mfe_pct,holding_trade_days,strategy_trade_no
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260122,20260122144500,4.717,4.703,8782,20260122145500,20260122,4.723,tp18_sl25_time5,止盈1.8止损2.5时间5日,8975,20260128150000,20260128,4.725,持有天数达到上限,0.000423,-0.009316,0.007834,5,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260202,20260202131000,4.657,4.647,9099,20260202132000,20260202,4.651,tp18_sl25_time5,止盈1.8止损2.5时间5日,9311,20260206150000,20260206,4.649,持有天数达到上限,-0.00043,-0.01419,0.01247,5,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260323,20260323130500,4.488,4.468,10490,20260323131500,20260323,4.475,tp18_sl25_time5,止盈1.8止损2.5时间5日,10703,20260327150000,20260327,4.508,持有天数达到上限,0.007374,-0.015642,0.016536,5,7
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260403,20260403131500,4.456,4.455,10924,20260403132500,20260403,4.451,tp18_sl25_time5,止盈1.8止损2.5时间5日,10993,20260408094000,20260408,4.538,盘中5m收盘触发固定止盈,0.019546,-0.004493,0.022018,3,8
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20250527,20250527131000,3.74,3.729,939,20250527132000,20250527,3.737,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,1151,20250603150000,20250603,3.746,持有天数达到上限,0.002408,-0.004282,0.008295,5,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20250801,20250801131000,4.017,4.015,3195,20250801132000,20250801,4.01,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,3372,20250807103500,20250807,4.049,浮盈后盘中回撤触发移动保护,0.009726,-0.00399,0.019202,5,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20251020,20251020143000,4.51,4.502,5611,20251020144000,20251020,4.506,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,5666,20251022094500,20251022,4.552,浮盈后盘中回撤触发移动保护,0.010209,-0.00111,0.020861,3,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20251118,20251118132500,4.56,4.558,6606,20251118133500,20251118,4.557,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,6768,20251124093500,20251124,4.456,盘中5m收盘触发固定止损,-0.022164,-0.025894,0.010753,5,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260122,20260122144500,4.717,4.703,8782,20260122145500,20260122,4.723,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,8975,20260128150000,20260128,4.725,持有天数达到上限,0.000423,-0.009316,0.007834,5,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260202,20260202131000,4.657,4.647,9099,20260202132000,20260202,4.651,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,9222,20260205100500,20260205,4.665,浮盈后盘中回撤触发移动保护,0.00301,-0.01419,0.01247,4,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260323,20260323130500,4.488,4.468,10490,20260323131500,20260323,4.475,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,10635,20260326132000,20260326,4.503,浮盈后盘中回撤触发移动保护,0.006257,-0.015642,0.016536,4,7
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260326,20260326132000,4.504,4.502,10637,20260326133000,20260326,4.496,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,10847,20260401150000,20260401,4.534,持有天数达到上限,0.008452,-0.011343,0.010231,5,8
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260403,20260403131500,4.456,4.455,10924,20260403132500,20260403,4.451,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,11042,20260409094500,20260409,4.562,浮盈后盘中回撤触发移动保护,0.024938,-0.004493,0.034374,4,9
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20250527,20250527131000,3.74,3.729,939,20250527132000,20250527,3.737,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,1391,20250610150000,20250610,3.761,持有天数达到上限,0.006422,-0.004282,0.016591,10,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20250801,20250801131000,4.017,4.015,3195,20250801132000,20250801,4.01,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,3629,20250814133000,20250814,4.128,浮盈后盘中回撤触发移动保护,0.029426,-0.00399,0.042394,10,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20251020,20251020143000,4.51,4.502,5611,20251020144000,20251020,4.506,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,5716,20251023095500,20251023,4.546,浮盈后盘中回撤触发移动保护,0.008877,-0.00111,0.020861,4,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20251118,20251118132500,4.56,4.558,6606,20251118133500,20251118,4.557,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,6768,20251124093500,20251124,4.456,盘中5m收盘触发固定止损,-0.022164,-0.025894,0.010753,5,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260122,20260122144500,4.717,4.703,8782,20260122145500,20260122,4.723,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,9118,20260202145500,20260202,4.594,盘中5m收盘触发固定止损,-0.027313,-0.027948,0.011857,8,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20260323,20260323130500,4.488,4.468,10490,20260323131500,20260323,4.475,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,10943,20260403150000,20260403,4.454,持有天数达到上限,-0.004693,-0.015642,0.016536,10,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20250527,20250527131000,3.74,3.729,940,20250527132500,20250527,3.734,time_3d,3日时间退出,1055,20250529150000,20250529,3.755,持有天数达到上限,0.005624,-0.001875,0.009106,3,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20250801,20250801131000,4.017,4.015,3196,20250801132500,20250801,4.01,time_3d,3日时间退出,3311,20250805150000,20250805,4.06,持有天数达到上限,0.012469,-0.00399,0.012968,3,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251020,20251020143000,4.51,4.502,5612,20251020144500,20251020,4.509,time_3d,3日时间退出,5711,20251022150000,20251022,4.572,持有天数达到上限,0.013972,-0.0,0.020182,3,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251118,20251118132500,4.56,4.558,6607,20251118134000,20251118,4.561,time_3d,3日时间退出,6719,20251120150000,20251120,4.553,持有天数达到上限,-0.001754,-0.004385,0.009866,3,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260122,20260122144500,4.717,4.703,8783,20260122150000,20260122,4.721,time_3d,3日时间退出,8879,20260126150000,20260126,4.712,持有天数达到上限,-0.001906,-0.007202,0.008261,3,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260202,20260202131000,4.657,4.647,9100,20260202132500,20260202,4.639,time_3d,3日时间退出,9215,20260204150000,20260204,4.707,持有天数达到上限,0.014658,-0.01164,0.015089,3,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260323,20260323130500,4.488,4.468,10491,20260323132000,20260323,4.477,time_3d,3日时间退出,10607,20260325150000,20260325,4.544,持有天数达到上限,0.014965,-0.016082,0.016082,3,7
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260326,20260326132000,4.504,4.502,10638,20260326133500,20260326,4.497,time_3d,3日时间退出,10751,20260330150000,20260330,4.5,持有天数达到上限,0.000667,-0.011563,0.007338,3,8
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260403,20260403131500,4.456,4.455,10925,20260403133000,20260403,4.451,time_3d,3日时间退出,11039,20260408150000,20260408,4.602,持有天数达到上限,0.033925,-0.004493,0.034374,3,9
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20250527,20250527131000,3.74,3.729,940,20250527132500,20250527,3.734,tp12_sl20_time3,止盈1.2止损2.0时间3日,1055,20250529150000,20250529,3.755,持有天数达到上限,0.005624,-0.001875,0.009106,3,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20250801,20250801131000,4.017,4.015,3196,20250801132500,20250801,4.01,tp12_sl20_time3,止盈1.2止损2.0时间3日,3303,20250805142000,20250805,4.059,盘中5m收盘触发固定止盈,0.012219,-0.00399,0.012718,3,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251020,20251020143000,4.51,4.502,5612,20251020144500,20251020,4.509,tp12_sl20_time3,止盈1.2止损2.0时间3日,5622,20251021100500,20251021,4.566,盘中5m收盘触发固定止盈,0.012641,-0.0,0.013528,2,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251118,20251118132500,4.56,4.558,6607,20251118134000,20251118,4.561,tp12_sl20_time3,止盈1.2止损2.0时间3日,6719,20251120150000,20251120,4.553,持有天数达到上限,-0.001754,-0.004385,0.009866,3,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260122,20260122144500,4.717,4.703,8783,20260122150000,20260122,4.721,tp12_sl20_time3,止盈1.2止损2.0时间3日,8879,20260126150000,20260126,4.712,持有天数达到上限,-0.001906,-0.007202,0.008261,3,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260202,20260202131000,4.657,4.647,9100,20260202132500,20260202,4.639,tp12_sl20_time3,止盈1.2止损2.0时间3日,9209,20260204143000,20260204,4.697,盘中5m收盘触发固定止盈,0.012503,-0.01164,0.013365,3,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260323,20260323130500,4.488,4.468,10491,20260323132000,20260323,4.477,tp12_sl20_time3,止盈1.2止损2.0时间3日,10565,20260325100000,20260325,4.534,盘中5m收盘触发固定止盈,0.012732,-0.016082,0.013849,3,7
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260326,20260326132000,4.504,4.502,10638,20260326133500,20260326,4.497,tp12_sl20_time3,止盈1.2止损2.0时间3日,10751,20260330150000,20260330,4.5,持有天数达到上限,0.000667,-0.011563,0.007338,3,8
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260403,20260403131500,4.456,4.455,10925,20260403133000,20260403,4.451,tp12_sl20_time3,止盈1.2止损2.0时间3日,10993,20260408094000,20260408,4.538,盘中5m收盘触发固定止盈,0.019546,-0.004493,0.022018,3,9
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20250527,20250527131000,3.74,3.729,940,20250527132500,20250527,3.734,tp18_sl25_time5,止盈1.8止损2.5时间5日,1151,20250603150000,20250603,3.746,持有天数达到上限,0.003214,-0.003482,0.009106,5,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20250801,20250801131000,4.017,4.015,3196,20250801132500,20250801,4.01,tp18_sl25_time5,止盈1.8止损2.5时间5日,3364,20250807095500,20250807,4.085,盘中5m收盘触发固定止盈,0.018703,-0.00399,0.019202,5,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251020,20251020143000,4.51,4.502,5612,20251020144500,20251020,4.509,tp18_sl25_time5,止盈1.8止损2.5时间5日,5639,20251021113000,20251021,4.598,盘中5m收盘触发固定止盈,0.019738,-0.0,0.020182,2,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251118,20251118132500,4.56,4.558,6607,20251118134000,20251118,4.561,tp18_sl25_time5,止盈1.8止损2.5时间5日,6765,20251121145000,20251121,4.445,盘中5m收盘触发固定止损,-0.025433,-0.025652,0.009866,4,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260122,20260122144500,4.717,4.703,8783,20260122150000,20260122,4.721,tp18_sl25_time5,止盈1.8止损2.5时间5日,8975,20260128150000,20260128,4.725,持有天数达到上限,0.000847,-0.008896,0.008261,5,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260202,20260202131000,4.657,4.647,9100,20260202132500,20260202,4.639,tp18_sl25_time5,止盈1.8止损2.5时间5日,9311,20260206150000,20260206,4.649,持有天数达到上限,0.002156,-0.01164,0.015089,5,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260323,20260323130500,4.488,4.468,10491,20260323132000,20260323,4.477,tp18_sl25_time5,止盈1.8止损2.5时间5日,10703,20260327150000,20260327,4.508,持有天数达到上限,0.006924,-0.016082,0.016082,5,7
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260403,20260403131500,4.456,4.455,10925,20260403133000,20260403,4.451,tp18_sl25_time5,止盈1.8止损2.5时间5日,10993,20260408094000,20260408,4.538,盘中5m收盘触发固定止盈,0.019546,-0.004493,0.022018,3,8
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20250527,20250527131000,3.74,3.729,940,20250527132500,20250527,3.734,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,1151,20250603150000,20250603,3.746,持有天数达到上限,0.003214,-0.003482,0.009106,5,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20250801,20250801131000,4.017,4.015,3196,20250801132500,20250801,4.01,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,3372,20250807103500,20250807,4.049,浮盈后盘中回撤触发移动保护,0.009726,-0.00399,0.019202,5,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251020,20251020143000,4.51,4.502,5612,20251020144500,20251020,4.509,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,5666,20251022094500,20251022,4.552,浮盈后盘中回撤触发移动保护,0.009536,-0.0,0.020182,3,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251118,20251118132500,4.56,4.558,6607,20251118134000,20251118,4.561,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,6765,20251121145000,20251121,4.445,盘中5m收盘触发固定止损,-0.025433,-0.025652,0.009866,4,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260122,20260122144500,4.717,4.703,8783,20260122150000,20260122,4.721,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,8975,20260128150000,20260128,4.725,持有天数达到上限,0.000847,-0.008896,0.008261,5,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260202,20260202131000,4.657,4.647,9100,20260202132500,20260202,4.639,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,9222,20260205100500,20260205,4.665,浮盈后盘中回撤触发移动保护,0.005605,-0.01164,0.015089,4,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260323,20260323130500,4.488,4.468,10491,20260323132000,20260323,4.477,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,10635,20260326132000,20260326,4.503,浮盈后盘中回撤触发移动保护,0.005807,-0.016082,0.016082,4,7
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260326,20260326132000,4.504,4.502,10638,20260326133500,20260326,4.497,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,10847,20260401150000,20260401,4.534,持有天数达到上限,0.008228,-0.011563,0.010007,5,8
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260403,20260403131500,4.456,4.455,10925,20260403133000,20260403,4.451,trail12_08_sl25_time5,浮盈1.2后回撤0.8保护时间5日,11042,20260409094500,20260409,4.562,浮盈后盘中回撤触发移动保护,0.024938,-0.004493,0.034374,4,9
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20250527,20250527131000,3.74,3.729,940,20250527132500,20250527,3.734,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,1391,20250610150000,20250610,3.761,持有天数达到上限,0.007231,-0.003482,0.017408,10,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20250801,20250801131000,4.017,4.015,3196,20250801132500,20250801,4.01,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,3629,20250814133000,20250814,4.128,浮盈后盘中回撤触发移动保护,0.029426,-0.00399,0.042394,10,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251020,20251020143000,4.51,4.502,5612,20251020144500,20251020,4.509,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,5716,20251023095500,20251023,4.546,浮盈后盘中回撤触发移动保护,0.008206,-0.0,0.020182,4,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20251118,20251118132500,4.56,4.558,6607,20251118134000,20251118,4.561,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,6765,20251121145000,20251121,4.445,盘中5m收盘触发固定止损,-0.025433,-0.025652,0.009866,4,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260122,20260122144500,4.717,4.703,8783,20260122150000,20260122,4.721,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,9118,20260202145500,20260202,4.594,盘中5m收盘触发固定止损,-0.026901,-0.027537,0.012286,8,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20260323,20260323130500,4.488,4.468,10491,20260323132000,20260323,4.477,trail18_10_sl25_time10,浮盈1.8后回撤1.0保护时间10日,10943,20260403150000,20260403,4.454,持有天数达到上限,-0.005137,-0.016082,0.016082,10,6
