rule_name,rule_label,entry_offset_bars,horizon_days,signal_date,signal_time,signal_price,entry_time,entry_date,entry_price,exit_date,exit_price,return_pct,mae_pct,max_drawdown_pct,strategy_trade_no
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,20,20251216,20251216130500,4.49,20251216131000,20251216,4.49,20260114,4.7845,0.06559,-0.002673,-0.025609,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,20,20260122,20260122130500,4.711,20260122131000,20260122,4.711,20260226,4.7445,0.007111,-0.026746,-0.040594,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,20,20260320,20260320143000,4.599,20260320143500,20260320,4.599,20260417,4.7445,0.031637,-0.042183,-0.049622,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20250527,20250527130500,3.737,20250527131500,20250527,3.74,20250529,3.7615,0.005749,-0.003476,-0.010616,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20250801,20250801130500,4.017,20250801131500,20250801,4.016,20250805,4.061,0.011205,-0.005478,-0.011141,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20251020,20251020140500,4.514,20251020141500,20251020,4.51,20251022,4.5785,0.015188,-0.001996,-0.015435,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20251118,20251118131500,4.562,20251118132500,20251118,4.564,20251120,4.5795,0.003396,-0.005039,-0.012158,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20251121,20251121144500,4.446,20251121145500,20251121,4.45,20251125,4.487,0.008315,-0.008989,-0.026705,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20251127,20251127144000,4.504,20251127145000,20251127,4.503,20251201,4.5645,0.013658,-0.005108,-0.015601,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20251216,20251216130500,4.49,20251216131500,20251216,4.49,20251218,4.557,0.014922,-0.002673,-0.021559,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20260122,20260122130500,4.711,20260122131500,20260122,4.71,20260126,4.736,0.00552,-0.004883,-0.015336,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20260202,20260202130500,4.655,20260202131500,20260202,4.656,20260204,4.708,0.011168,-0.015249,-0.028396,9
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20260320,20260320143000,4.599,20260320144000,20260320,4.595,20260324,4.4795,-0.025136,-0.041349,-0.049622,10
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20260326,20260326130500,4.519,20260326131500,20260326,4.51,20260330,4.5025,-0.001663,-0.014412,-0.022432,11
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20260331,20260331130500,4.487,20260331131500,20260331,4.483,20260402,4.5075,0.005465,-0.004684,-0.015852,12
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,20260403,20260403130500,4.457,20260403131500,20260403,4.46,20260408,4.603,0.032063,-0.006502,-0.018897,13
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,5,20250527,20250527130500,3.737,20250527131500,20250527,3.74,20250603,3.7535,0.00361,-0.00508,-0.012473,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,5,20250801,20250801130500,4.017,20250801131500,20250801,4.016,20250807,4.0785,0.015563,-0.005478,-0.011141,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,5,20251020,20251020140500,4.514,20251020141500,20251020,4.51,20251024,4.648,0.030599,-0.001996,-0.017609,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,5,20251118,20251118131500,4.562,20251118132500,20251118,4.564,20251124,4.448,-0.025416,-0.033742,-0.042553,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,5,20251127,20251127144000,4.504,20251127145000,20251127,4.503,20251203,4.5415,0.00855,-0.005108,-0.015601,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,5,20251216,20251216130500,4.49,20251216131500,20251216,4.49,20251222,4.6095,0.026615,-0.002673,-0.021559,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,5,20260122,20260122130500,4.711,20260122131500,20260122,4.71,20260128,4.734,0.005096,-0.006582,-0.017017,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,5,20260202,20260202130500,4.655,20260202131500,20260202,4.656,20260206,4.67,0.003007,-0.015249,-0.028396,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,5,20260320,20260320143000,4.599,20260320144000,20260320,4.595,20260326,4.5175,-0.016866,-0.041349,-0.049622,9
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,5,20260331,20260331130500,4.487,20260331131500,20260331,4.483,20260407,4.458,-0.005577,-0.011599,-0.024439,10
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,10,20250527,20250527130500,3.737,20250527131500,20250527,3.74,20250610,3.7775,0.010027,-0.00508,-0.013688,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,10,20250801,20250801130500,4.017,20250801131500,20250801,4.016,20250814,4.1565,0.034985,-0.005478,-0.013158,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,10,20251020,20251020140500,4.514,20251020141500,20251020,4.51,20251031,4.668,0.035033,-0.001996,-0.025047,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,10,20251118,20251118131500,4.562,20251118132500,20251118,4.564,20251201,4.5645,0.00011,-0.033742,-0.042553,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,10,20251216,20251216130500,4.49,20251216131500,20251216,4.49,20251229,4.6555,0.03686,-0.002673,-0.021559,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,10,20260122,20260122130500,4.711,20260122131500,20260122,4.71,20260204,4.708,-0.000425,-0.026539,-0.040594,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,10,20260320,20260320143000,4.599,20260320144000,20260320,4.595,20260402,4.5075,-0.019042,-0.041349,-0.049622,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,10,20260403,20260403130500,4.457,20260403131500,20260403,4.46,20260417,4.7445,0.063789,-0.006502,-0.018897,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,20,20250527,20250527130500,3.737,20250527131500,20250527,3.74,20250624,3.82,0.02139,-0.00508,-0.019407,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,20,20250801,20250801130500,4.017,20250801131500,20250801,4.016,20250828,4.437,0.104831,-0.005478,-0.029807,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,20,20251020,20251020140500,4.514,20251020141500,20251020,4.51,20251114,4.6455,0.030044,-0.001996,-0.043359,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,20,20251118,20251118131500,4.562,20251118132500,20251118,4.564,20251215,4.5665,0.000548,-0.033742,-0.044051,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,20,20251216,20251216130500,4.49,20251216131500,20251216,4.49,20260114,4.7845,0.06559,-0.002673,-0.025609,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,20,20260122,20260122130500,4.711,20260122131500,20260122,4.71,20260226,4.7445,0.007325,-0.026539,-0.040594,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,20,20260320,20260320143000,4.599,20260320144000,20260320,4.595,20260417,4.7445,0.032535,-0.041349,-0.049622,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20250527,20250527130500,3.737,20250527132000,20250527,3.737,20250529,3.7615,0.006556,-0.002676,-0.010616,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20250801,20250801130500,4.017,20250801132000,20250801,4.01,20250805,4.061,0.012718,-0.00399,-0.011141,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20251020,20251020140500,4.514,20251020142000,20251020,4.511,20251022,4.5785,0.014963,-0.002217,-0.015435,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20251118,20251118131500,4.562,20251118133000,20251118,4.561,20251120,4.5795,0.004056,-0.004385,-0.012158,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20251121,20251121144500,4.446,20251121150000,20251121,4.443,20251125,4.487,0.009903,-0.007427,-0.026705,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20251127,20251127144000,4.504,20251127145500,20251127,4.499,20251201,4.5645,0.014559,-0.004223,-0.015601,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20251216,20251216130500,4.49,20251216132000,20251216,4.492,20251218,4.557,0.01447,-0.003117,-0.021559,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20260122,20260122130500,4.711,20260122132000,20260122,4.712,20260126,4.736,0.005093,-0.005306,-0.015336,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20260202,20260202130500,4.655,20260202132000,20260202,4.651,20260204,4.708,0.012255,-0.01419,-0.028396,9
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20260320,20260320143000,4.599,20260320144500,20260320,4.591,20260324,4.4795,-0.024287,-0.040514,-0.049622,10
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20260326,20260326130500,4.519,20260326132000,20260326,4.503,20260330,4.5025,-0.000111,-0.01288,-0.022432,11
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20260331,20260331130500,4.487,20260331132000,20260331,4.475,20260402,4.5075,0.007263,-0.002905,-0.015852,12
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,20260403,20260403130500,4.457,20260403132000,20260403,4.456,20260408,4.603,0.032989,-0.00561,-0.018897,13
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,5,20250527,20250527130500,3.737,20250527132000,20250527,3.737,20250603,3.7535,0.004415,-0.004282,-0.012473,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,5,20250801,20250801130500,4.017,20250801132000,20250801,4.01,20250807,4.0785,0.017082,-0.00399,-0.011141,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,5,20251020,20251020140500,4.514,20251020142000,20251020,4.511,20251024,4.648,0.03037,-0.002217,-0.017609,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,5,20251118,20251118131500,4.562,20251118133000,20251118,4.561,20251124,4.448,-0.024775,-0.033107,-0.042553,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,5,20251127,20251127144000,4.504,20251127145500,20251127,4.499,20251203,4.5415,0.009447,-0.004223,-0.015601,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,5,20251216,20251216130500,4.49,20251216132000,20251216,4.492,20251222,4.6095,0.026158,-0.003117,-0.021559,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,5,20260122,20260122130500,4.711,20260122132000,20260122,4.712,20260128,4.734,0.004669,-0.007003,-0.017017,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,5,20260202,20260202130500,4.655,20260202132000,20260202,4.651,20260206,4.67,0.004085,-0.01419,-0.028396,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,5,20260320,20260320143000,4.599,20260320144500,20260320,4.591,20260326,4.5175,-0.01601,-0.040514,-0.049622,9
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,5,20260331,20260331130500,4.487,20260331132000,20260331,4.475,20260407,4.458,-0.003799,-0.009832,-0.024439,10
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,10,20250527,20250527130500,3.737,20250527132000,20250527,3.737,20250610,3.7775,0.010838,-0.004282,-0.013688,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,10,20250801,20250801130500,4.017,20250801132000,20250801,4.01,20250814,4.1565,0.036534,-0.00399,-0.013158,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,10,20251020,20251020140500,4.514,20251020142000,20251020,4.511,20251031,4.668,0.034804,-0.002217,-0.025047,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,10,20251118,20251118131500,4.562,20251118133000,20251118,4.561,20251201,4.5645,0.000767,-0.033107,-0.042553,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,10,20251216,20251216130500,4.49,20251216132000,20251216,4.492,20251229,4.6555,0.036398,-0.003117,-0.021559,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,10,20260122,20260122130500,4.711,20260122132000,20260122,4.712,20260204,4.708,-0.000849,-0.026952,-0.040594,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,10,20260320,20260320143000,4.599,20260320144500,20260320,4.591,20260402,4.5075,-0.018188,-0.040514,-0.049622,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,10,20260403,20260403130500,4.457,20260403132000,20260403,4.456,20260417,4.7445,0.064744,-0.00561,-0.018897,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,20,20250527,20250527130500,3.737,20250527132000,20250527,3.737,20250624,3.82,0.02221,-0.004282,-0.019407,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,20,20250801,20250801130500,4.017,20250801132000,20250801,4.01,20250828,4.437,0.106484,-0.00399,-0.029807,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,20,20251020,20251020140500,4.514,20251020142000,20251020,4.511,20251114,4.6455,0.029816,-0.002217,-0.043359,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,20,20251118,20251118131500,4.562,20251118133000,20251118,4.561,20251215,4.5665,0.001206,-0.033107,-0.044051,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,20,20251216,20251216130500,4.49,20251216132000,20251216,4.492,20260114,4.7845,0.065116,-0.003117,-0.025609,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,20,20260122,20260122130500,4.711,20260122132000,20260122,4.712,20260226,4.7445,0.006897,-0.026952,-0.040594,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,20,20260320,20260320143000,4.599,20260320144500,20260320,4.591,20260417,4.7445,0.033435,-0.040514,-0.049622,7
intraday_weak_low,盘中弱势低位预警,1,3,20250527,20250527130500,3.737,20250527131000,20250527,3.737,20250529,3.7615,0.006556,-0.002676,-0.010616,1
intraday_weak_low,盘中弱势低位预警,1,3,20250801,20250801130500,4.017,20250801131000,20250801,4.018,20250805,4.061,0.010702,-0.005973,-0.011141,2
intraday_weak_low,盘中弱势低位预警,1,3,20251020,20251020140500,4.514,20251020141000,20251020,4.514,20251022,4.5785,0.014289,-0.00288,-0.015435,3
intraday_weak_low,盘中弱势低位预警,1,3,20251118,20251118130500,4.566,20251118131000,20251118,4.566,20251120,4.5795,0.002957,-0.005475,-0.012158,4
intraday_weak_low,盘中弱势低位预警,1,3,20251121,20251121130500,4.477,20251121131000,20251121,4.477,20251125,4.487,0.002234,-0.014965,-0.026705,5
intraday_weak_low,盘中弱势低位预警,1,3,20251127,20251127135000,4.516,20251127135500,20251127,4.516,20251201,4.5645,0.01074,-0.007972,-0.015601,6
intraday_weak_low,盘中弱势低位预警,1,3,20251216,20251216130500,4.49,20251216131000,20251216,4.49,20251218,4.557,0.014922,-0.002673,-0.021559,7
