group,feature,feature_cn,positive_count,control_count,positive_mean,control_mean,positive_median,control_median,mean_gap,std_diff,abs_std_diff,single_feature_auc,mann_whitney_p
daily_day,day_close_in_range,收盘在当日振幅中的位置,11,231,0.296843,0.570026,0.296296,0.6,-0.273183,-0.94872,0.94872,0.770563,0.002457
daily_day,day_upper_shadow_ratio,上影线占当日振幅比例,11,231,0.391537,0.260138,0.41791,0.21875,0.1314,0.685541,0.685541,0.70366,0.022656
daily_day,day_return,当日涨跌幅,11,231,-0.00459,0.001407,-0.002276,0.001511,-0.005997,-0.661986,0.661986,0.715073,0.016084
daily_day,day_volume_ratio_5,成交量相对5日均量变化,11,231,-0.132268,0.017653,-0.164799,-0.046967,-0.149921,-0.503195,0.503195,0.674144,0.051351
daily_day,day_low_vs_prev_close,最低价相对前收盘价跌幅,11,231,-0.008525,-0.005612,-0.007003,-0.004526,-0.002914,-0.413557,0.413557,0.614325,0.20109
daily_day,day_lower_shadow_ratio,下影线占当日振幅比例,11,231,0.290109,0.265704,0.296296,0.217391,0.024405,0.113331,0.113331,0.572609,0.417249
daily_day,day_intraday_range,当日振幅,11,231,0.012757,0.01243,0.011791,0.011054,0.000326,0.057444,0.057444,0.50669,0.942014
daily_day,day_gap_from_prev_close,开盘相对前收跳空幅度,11,231,-0.000292,-0.000221,0.000222,0.0,-7e-05,-0.017705,0.017705,0.503345,0.971863
