band,daily_gate_mode,signal_count,closed_trade_count,total_return,win_rate,avg_trade_return,avg_holding_trade_days
候选A-严格,intraday_estimated_daily_gate,20,14,0.028029,0.285714,0.002052,2.5714
候选B-平衡,intraday_estimated_daily_gate,22,14,0.032391,0.285714,0.002357,2.5714
