trade_date,stock,open,close,cash,shares,market_value,total_equity,ma_short,ma_long,rsi,volume,volume_ma,pullback_ok,pullback_score,pullback_labels,intraday_confirmed,intraday_score,intraday_labels,intraday_rebound_from_low,intraday_close_in_range,intraday_hold_from_low,executed_action,executed_reason,next_signal,next_signal_reason
20250730,510300.SH,4.104,4.109,100000.0,0,0.0,100000.0,4.0988,3.9981,68.2353,9502522,8128648.2,False,0,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位,False,3,低点出现在尾盘过晚 | 盘中低点后出现明显反抽 | 收盘位置仍偏弱 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.006121,0.431034,0.006121,hold,,watch,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 相对近10日高点回撤不明显 | 5日方向未转弱 | 尚未出现明显大级别破位 | 低点出现在尾盘过晚 | 盘中低点后出现明显反抽 | 收盘位置仍偏弱
20250731,510300.SH,4.098,4.032,100000.0,0,0.0,100000.0,4.0848,4.0051,36.25,11229126,8604001.4,False,3,近3日连跌痕迹不足 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向偏弱 | 尚未出现明显大级别破位,False,0,低点出现在尾盘过晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱 | 尾盘反抽不稳 | 当日30m结构未明显转强,0.003235,0.164557,0.001991,hold,,watch,近3日连跌痕迹不足 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向偏弱 | 尚未出现明显大级别破位 | 低点出现在尾盘过晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱
20250801,510300.SH,4.025,4.01,100000.0,0,0.0,100000.0,4.0708,4.0102,20.5128,6115671,8186963.6,True,4,近3日内至少2根阴线 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向偏弱 | 尚未出现明显大级别破位,False,2,低点出现得不算太晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱 | 尾盘未重新贴近当日低点 | 当日30m结构未明显转强,0.003755,0.340909,0.003755,hold,,watch,近3日内至少2根阴线 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向偏弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱
20250804,510300.SH,3.999,4.029,100000.0,0,0.0,100000.0,4.0584,4.0171,33.3333,4355672,7852555.4,True,4,近3日内至少2根阴线 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向偏弱 | 尚未出现明显大级别破位,True,5,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.008763,0.945946,0.007762,hold,,prepare_buy,日线回撤背景成立(score=4) | 30m止跌确认成立(score=5) | 近3日内至少2根阴线 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向偏弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚
20250805,510300.SH,4.031,4.06,31.2,24800,100688.0,100719.2,4.048,4.0239,41.0405,5480681,7336734.4,False,2,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向偏弱 | 尚未出现明显大级别破位,True,5,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.007944,0.941176,0.007944,buy,日线回撤背景成立(score=4) | 30m止跌确认成立(score=5) | 近3日内至少2根阴线 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向偏弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,none,
20250806,510300.SH,4.058,4.071,31.2,24800,100960.8,100992.0,4.0404,4.0313,37.4233,4089449,6254119.8,False,2,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向偏弱 | 尚未出现明显大级别破位,True,5,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.004441,0.782609,0.003701,hold,,none,
20250807,510300.SH,4.073,4.07,31.2,24800,100936.0,100967.2,4.048,4.0377,37.8882,5339656,5076225.8,False,1,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位,False,3,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置仍偏弱 | 尾盘未重新贴近当日低点 | 当日30m结构未明显转强,0.005435,0.564103,0.004941,hold,,none,
20250808,510300.SH,4.065,4.06,31.2,24800,100688.0,100719.2,4.058,4.0429,64.8936,4230624,4699216.4,False,2,近3日内至少2根阴线 | 收盘价未落到5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位,False,1,低点出现得不算太晚 | 盘中低点反抽幅度不足 | 收盘位置仍偏弱 | 尾盘反抽不稳 | 当日30m结构未明显转强,0.001974,0.307692,0.001974,hold,,none,
20250811,510300.SH,4.06,4.079,31.2,24800,101159.2,101190.4,4.068,4.0491,87.9121,6881519,5204385.8,False,2,近3日内至少2根阴线 | 收盘价未落到5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位,False,4,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置仍偏弱 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.00468,0.542857,0.00468,hold,,none,
20250812,510300.SH,4.077,4.105,31.2,24800,101804.0,101835.2,4.077,4.0566,88.7755,4824872,5073224.0,False,1,近3日连跌痕迹不足 | 收盘价未落到5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向未转弱 | 尚未出现明显大级别破位,True,5,低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.006868,0.756757,0.006377,hold,,none,
