signal_date,trade_date,stock,action,price,shares,amount,holding_days,reason,pnl
20250804,20250805,510300.SH,buy,4.031,24800,99968.8,0,日线回撤背景成立(score=4) | 30m止跌确认成立(score=5) | 近3日内至少2根阴线 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向偏弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.0
20250813,20250814,510300.SH,sell,4.142,24800,102721.6,7,持有天数达到上限,2752.8
20251103,20251104,510300.SH,buy,4.637,22100,102477.7,0,日线回撤背景成立(score=4) | 30m止跌确认成立(score=5) | 近3日内至少2根阴线 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向偏弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.0
20251104,20251105,510300.SH,sell,4.569,22100,100974.9,1,收盘价跌回5日均线下方,-1502.8
20260203,20260204,510300.SH,buy,4.652,21700,100948.4,0,日线回撤背景成立(score=4) | 30m止跌确认成立(score=5) | 近3日内至少2根阴线 | 收盘价位于5日均线下方 | 已从近10日高点出现可见回撤 | 5日方向偏弱 | 尚未出现明显大级别破位 | 低点出现得不算太晚 | 盘中低点后出现明显反抽 | 收盘位置处于当日波动区间上半部 | 尾盘未重新贴近当日低点 | 当日30m结构整体转强,0.0
20260206,20260209,510300.SH,sell,4.695,21700,101881.5,3,收盘价跌回5日均线下方,933.1
